id,name,price
745,Cheese - Comte,2.7
746,Cheese - Cheddarsliced,4.8
747,"Cheese - Manchego, Spanish",1.9
748,Wine - Bouchard La Vignee Pinot,4.6
749,Sachet,0.7
750,"Oil - Truffle, White",1.0
751,"Nut - Walnut, Pieces",1.8
752,Water - San Pellegrino,2.6
753,Lamb - Bones,4.4
754,"Mushroom - Shitake, Dry",3.8
755,Chicken Giblets,4.7
756,Wine - Pinot Noir Stoneleigh,3.4
757,Table Cloth 62x114 White,0.8
758,Bread Base - Italian,1.9
759,Wine - Barolo Fontanafredda,1.1
760,Appetizer - Escargot Puff,3.6
761,Steampan - Foil,4.2
762,Lid Coffeecup 12oz D9542b,4.3
763,Crab - Imitation Flakes,4.3
764,Wine - Baron De Rothschild,1.4
765,Vaccum Bag - 14x20,4.9
766,Oneshot Automatic Soap System,4.9
767,Beef - Prime Rib Aaa,1.9
768,Pomello,1.6
769,Raisin - Golden,1.9
770,"Yogurt - Strawberry, 175 Gr",0.7
771,Chicken - White Meat With Tender,3.0
772,Apple - Custard,4.3
773,Yeast Dry - Fermipan,2.1
774,Ice Cream Bar - Rolo Cone,4.9
775,"Salsify, Organic",4.3
776,Ecolab - Mikroklene 4/4 L,3.1
777,"Crab - Claws, Snow 16 - 24",2.2
778,"Pork - Tenderloin, Fresh",1.0
779,Coffee - Irish Cream,4.4
780,Crawfish,4.6
781,Chutney Sauce - Mango,2.4
782,V8 Pet,1.6
783,Radish - Pickled,1.0
784,Bread Country Roll,2.6
785,Nut - Pumpkin Seeds,1.5
786,Ham - Procutinni,1.7
787,Bagel - Everything Presliced,0.8
788,Berry Brulee,1.5
789,"Pasta - Penne, Rigate, Dry",3.1
790,Water - San Pellegrino,2.8
791,Chicken - Whole Fryers,1.1
792,Scallops - 10/20,0.9
793,Mix - Cappucino Cocktail,2.1
794,Bread - Sour Sticks With Onion,3.7
795,Pail For Lid 1537,5.0
796,Huck Towels White,2.6
797,"Cheese - Romano, Grated",1.5
798,Tuna - Bluefin,0.8
799,Pork - Caul Fat,3.5
800,Sugar - Fine,4.6
801,Bacon Strip Precooked,4.4
802,Muffin - Bran Ind Wrpd,0.5
803,Sweet Pea Sprouts,4.9
804,"Pepper - White, Whole",0.8
805,"Beef - Baby, Liver",1.8
806,"Lid - 10,12,16 Oz",2.5
807,Sage - Fresh,1.5
808,Country Roll,4.6
809,Beer - Steamwhistle,2.5
810,Herb Du Provence - Primerba,3.7
811,Grapefruit - Pink,1.0
812,"Soup - Campbells, Butternut",2.8
813,"Peas - Pigeon, Dry",2.6
814,Rabbit - Whole,3.8
815,Chicken - Whole Fryers,3.6
816,Dehydrated Kelp Kombo,3.0
817,Paper Cocktail Umberlla 80 - 180,1.4
818,Aspic - Light,4.4
819,Sprouts - Pea,4.5
820,Mayonnaise - Individual Pkg,1.5
821,Dc Hikiage Hira Huba,1.2
822,Soy Protein,3.7
823,Lamb - Ground,4.7
824,Beef - Tenderloin Tails,3.4
825,Longos - Chicken Curried,2.6
826,"Doilies - 5, Paper",3.3
827,Beans - Soya Bean,2.8
828,Rabbit - Legs,1.5
829,Chinese Foods - Chicken,2.7
830,Milk - Homo,4.0
831,Soup - Campbells Mac N Cheese,1.4
832,Pepper - Red Thai,4.8
833,Beer - Molson Excel,2.0
834,"Iced Tea - Lemon, 340ml",3.5
835,Mackerel Whole Fresh,2.5
836,Cheese - Mozzarella,2.9
837,Pears - Fiorelle,2.2
838,Wine - Chenin Blanc K.w.v.,0.8
839,Beans - Wax,3.2
840,Soup - Tomato Mush. Florentine,4.7
841,Muffin - Banana Nut Individual,4.0
842,Pancetta,1.1
843,Neckerchief Blck,1.1
844,Vodka - Smirnoff,1.4
845,Mace,3.5
846,Cheese - Parmesan Cubes,1.1
847,Madeira,5.0
848,Cake - Bande Of Fruit,3.0
849,Butter Ripple - Phillips,1.2
850,Mustard - Pommery,3.2
851,"Orange - Canned, Mandarin",4.3
852,Compound - Mocha,1.4
853,Juice - Cranberry 284ml,2.7
854,Tomatoes Tear Drop,0.9
855,Longos - Burritos,1.5
856,Snapple - Mango Maddness,4.8
857,Bar Mix - Lime,3.0
858,V8 - Vegetable Cocktail,3.3
859,"Salt - Rock, Course",1.5
860,Puree - Guava,2.9
861,Foam Tray S2,0.9
862,Bread - Onion Focaccia,1.6
863,Appetizer - Mango Chevre,3.0
864,Pear - Asian,0.7
865,Cheese - Fontina,2.4
866,Sprouts - Alfalfa,3.5
867,Chevere Logs,3.7
868,Rye Special Old,2.5
869,Taro Root,0.7
870,Lamb - Whole Head Off,1.1
871,Table Cloth 54x54 White,2.0
872,Energy Drink Red Bull,2.2
873,Initation Crab Meat,1.2
874,Chocolate - Compound Coating,3.7
875,Spice - Paprika,1.7
876,Ostrich - Fan Fillet,3.5
877,Water - Aquafina Vitamin,2.6
878,Sage - Rubbed,1.6
879,Ice Cream - Vanilla,1.8
880,Parsley Italian - Fresh,4.3
881,Bar Mix - Lime,3.6
882,Crab - Meat,0.9
883,Ecolab - Mikroklene 4/4 L,4.1
884,Eggroll,0.9
885,"Shrimp - 16/20, Peeled Deviened",3.3
886,Oats Large Flake,0.9
887,Chips Potato Swt Chilli Sour,3.1
888,"Pork - Back, Short Cut, Boneless",2.0
889,Flour - Strong Pizza,3.3
890,"Tomatoes - Vine Ripe, Yellow",1.7
891,Nantucket - Carrot Orange,2.6
892,"Wine - Red, Cabernet Sauvignon",0.6
893,"Flour - Buckwheat, Dark",2.7
894,"Water - Mineral, Natural",2.8
895,Steampan Lid,1.6
896,"Wine - Magnotta - Red, Baco",4.1
897,Chicken - Wieners,4.5
898,"Soup - Knorr, Chicken Noodle",2.8
899,Salt And Pepper Mix - Black,1.9
900,Chives - Fresh,1.4
901,"Pork - Back, Long Cut, Boneless",1.0
902,Chives - Fresh,0.6
903,Cake - Pancake,2.8
904,"Wine - Red, Gamay Noir",3.3
905,Pork - Caul Fat,2.1
906,Goat - Leg,1.3
907,Sauce - Hp,3.6
908,Milk 2% 500 Ml,1.7
909,Shrimp - Prawn,0.7
910,Flour - All Purpose,1.4
911,Lime Cordial - Roses,2.3
912,Calaloo,4.6
913,"Stock - Veal, Brown",2.4
914,Banana - Leaves,3.9
915,Anchovy In Oil,3.5
916,Fuji Apples,4.0
917,Cheese - Brie Roitelet,1.8
918,Turnip - White,3.6
919,"Cheese - Mozzarella, Shredded",2.3
920,Pastry - Plain Baked Croissant,2.5
921,"Juice - Clam, 46 Oz",1.3
922,Yoghurt Tubes,1.0
923,Longos - Grilled Veg Sandwiches,3.1
924,Food Colouring - Orange,1.1
925,Tuna - Sushi Grade,1.4
926,"Lamb - Leg, Boneless",4.9
927,Yogurt - Assorted Pack,1.8
928,Ecolab - Mikroklene 4/4 L,4.7
929,Rice Paper,3.3
930,Bonito Flakes - Toku Katsuo,2.7
931,Savory,1.5
932,Beans - Fine,1.3
933,"Seedlings - Buckwheat, Organic",1.8
934,Pate - Cognac,2.9
935,Bowl 12 Oz - Showcase 92012,1.5
936,Turkey - Ground. Lean,4.4
937,Foam Espresso Cup Plain White,1.6
938,Wine - Two Oceans Sauvignon,1.4
939,Wine - Valpolicella Masi,2.0
940,Magnotta Bel Paese Red,4.9
941,Bread - English Muffin,4.9
942,"Clams - Littleneck, Whole",1.9
943,Sugar - Cubes,3.3
944,Parasol Pick Stir Stick,2.7
945,Honey - Liquid,5.0
946,Coffee - Espresso,4.4
947,Beans - Wax,3.4
948,Coffee - Egg Nog Capuccino,2.9
949,Sauce - Oyster,1.0
950,"Mushroom - Trumpet, Dry",3.9
951,"Vermacelli - Sprinkles, Assorted",2.2
952,"Veal - Shank, Pieces",4.8
953,Puree - Blackcurrant,3.2
954,Wine - Cotes Du Rhone Parallele,4.5
955,Veal - Slab Bacon,3.6
956,Lettuce - Curly Endive,4.5
957,Chicken - Soup Base,2.7
958,"Wine - Red, Gallo, Merlot",4.4
959,Chips - Doritos,3.2
960,Cheese - Cheddarsliced,3.1
961,Beer - Blue Light,3.5
962,Veal - Insides Provini,4.8
963,Wine - Rhine Riesling Wolf Blass,4.7
964,"Coke - Classic, 355 Ml",0.9
965,"Tart Shells - Sweet, 3",1.7
966,Longos - Assorted Sandwich,2.2
967,Calvados - Boulard,4.0
968,Sobe - Liz Blizz,4.0
969,"Mushrooms - Black, Dried",3.5
970,"Beets - Candy Cane, Organic",4.8
971,"Mushroom - Shitake, Fresh",0.7
972,"Pepper - Julienne, Frozen",4.8
973,Lid Tray - 16in Dome,4.0
974,Tilapia - Fillets,2.1
975,Paper - Brown Paper Mini Cups,2.6
976,Bread - Hamburger Buns,1.8
977,Island Oasis - Mango Daiquiri,0.6
978,"Mushroom - Morels, Dry",3.2
979,Tuna - Salad Premix,4.2
980,Beef - Ground Lean Fresh,0.9
981,Table Cloth 54x72 Colour,2.8
982,Capers - Ox Eye Daisy,1.4
983,"Wine - Red, Concha Y Toro",1.6
984,Wine - Sicilia Igt Nero Avola,4.0
985,Sauce - Cranberry,0.7
986,Wine - Semi Dry Riesling Vineland,3.5
987,Sea Urchin,4.0
988,General Purpose Trigger,4.9
989,Butter - Unsalted,4.0
990,Lamb Leg - Bone - In Nz,3.4
991,Cheese - Bocconcini,2.0
992,"Sugar - Sweet N Low, Individual",4.4
993,Langers - Cranberry Cocktail,1.1
994,Cheese - Cheddar With Claret,1.4
995,Sauce - Marinara,0.9
996,Syrup - Monin - Blue Curacao,2.5
997,"Lentils - Red, Dry",3.2
998,Chicken - Soup Base,4.8
999,"Juice - Tomato, 10 Oz",2.4
1000,Ham - Black Forest,0.9
